id	rate
13165	67
13167	66.8
13169	67.8
13171	66.1
13173	69.1
13175	66.9
13177	68.2
13179	69.7
13181	66
13183	69.4
13185	69.5
13187	61.9
13189	65.9
13191	70.2
13193	67.7
13195	65.4
13197	66.5
13199	65.9
13201	69
13205	68.6
13207	66.5
13209	68.5
13211	66.3
13213	62.7
13215	68.1
13217	66.5
13219	66
13221	65.4
13223	64.7
13225	66.9
13227	63.2
13229	69.3
13231	64.7
13233	63.7
13235	67.8
13237	66.8
13239	68.9
13241	58.8
13243	68.4
13245	67.7
13247	66.1
13249	68
13251	67.1
13253	69.1
13255	64.7
13257	63.6
13259	66.8
13261	67.8
13263	66.6
13265	66.2
13267	68.2
13269	67.3
13271	68.9
13273	67.9
13275	69.6
13277	68.4
13279	68.2
13281	59.2
13283	68.3
13285	65.2
13287	68.2
13289	67.1
13291	59.2
13293	66.5
13295	63.6
13297	64.8
13299	69
13301	66
13303	67.9
13305	70.2
13307	66.8
13309	68.5
13311	62
13313	62.7
13315	68.1
13317	66.8
13319	68.1
13321	68.4
15001	54.6
15003	75.9
15005	75.4
15007	75.6
15009	75.7
16001	54.4
16003	43.1
16005	48.7
16007	42.6
16009	49.2
16011	48.5
16013	43.3
16015	51.5
16017	46.7
16019	46.9
16021	45.8
16023	43.7
16025	45.6
16027	54.1
16029	43.6
16031	50.3
16033	45.2
16035	51
16037	41.9
16039	54.3
16041	47.7
16043	45.2
16045	52.6
16047	51.1
16049	49.9
16051	46.6
16053	51.6
16055	48.5
16057	48.8
16059	42.8
16061	49.8
16063	51.6
16065	46
16067	50.3
16069	52.3
16071	47.4
16073	54.7
16075	52.7
16077	49.1
16079	45.3
16081	41.6
16083	51.8
16085	43.1
16087	51.5
17001	57.6
17003	61.7
17005	58.8
17007	52.7
17009	57.7
17011	55
17013	58.8
17015	52.9
17017	57.7
17019	56.3
17021	57.6
17023	57.1
17025	59
17027	59.4
17029	57.4
17031	55.8
17033	58.3
17035	57.8
17037	53.2
17039	56.9
17041	57.1
17043	55.1
17045	56.8
17047	59.7
17049	58.1
17051	58.7
17053	55.9
17055	60.4
17057	57
17059	60.6
17061	58.7
17063	54.8
17065	59.7
17067	57.3
17069	61.2
17071	56.4
17073	55.2
17075	55.8
17077	60.4
17079	58.6
17081	59.3
17083	59.5
17085	52.4
17087	60.7
17089	54.3
17091	55.4
17093	54.2
17095	55.6
17097	53.5
17099	54.8
17101	58.9
17103	53.8
17105	55.6
17107	56.9
17109	56.6
17111	52.9
17113	55.8
17115	57.3
17117	58.3
17119	59.3
17121	59.1
17123	55.2
17125	57.6
17127	61
17129	57.5
17131	55.5
17133	60.3
17135	58.2
17137	57.8
17139	57.4
17141	53.3
17143	56.3
17145	60.1
17147	56.9
17149	58.1
17151	60.7
17153	61.7
17155	54.9
17157	60.4
17159	59
17161	55
17163	59.7
17165	60.6
17167	57.4
17169	57.8
17171	58
17173	57.8
17175	55.7
17177	52.4
17179	56.2
17181	61.1
17183	56.4
17185	59.3
17187	55.9
17189	59.6
17191	59.7
17193	59.7
17195	54.1
17197	54.4
17199	60.9
17201	52.7
17203	55.9
18001	54.5
18003	54.4
18005	57.2
18007	55.5
18009	55
18011	55.9
18013	58.3
18015	55.6
18017	55.3
18019	59
18021	56.9
18023	55.7
18025	58.9
18027	59
18029	57.2
18031	56.3
18033	54
18035	55.1
18037	59.1
18039	54
18041	55.8
18043	60
18045	56.2
18047	56.2
18049	54.9
18051	59.4
18053	55.2
18055	57.9
18057	56.9
18059	56
18061	59.3
18063	56.8
18065	55.3
18067	55.5
18069	54.6
18071	57.7
18073	54.9
18075	54.8
18077	57.8
18079	57.4
18081	57.1
18083	59.1
18085	54
18087	53.4
18089	54.8
18091	53.9
18093	57.8
18095	55.6
18097	57.2
18099	54.6
18101	59.3
18103	55.1
18105	57.6
18107	56
18109	57.2
18111	55.6
18113	54
18115	57.5
18117	58.9
18119	57.1
18121	56.4
18123	59.7
18125	59.4
18127	53.9
18129	60.3
18131	55.5
18133	56.5
18135	54.8
18137	56.7
18139	55.9
18141	54.3
18143	58.1
18145	56.3
18147	60.2
18149	55.2
18151	53.2
18153	57.8
18155	58.2
18157	55.8
18159	55.5
18161	55.9
18163	60
18165	56.7
18167	57
18169	54.8
18171	55.9
18173	60
18175	58.3
18177	55.3
18179	54.6
18181	55.9
18183	54.1
19001	54.5
19003	55.3
19005	51
19007	56.3
19009	53.9
19011	53.4
19013	52.6
19015	54.1
19017	52.2
19019	52.3
19021	53.1
19023	52.5
19025	54.3
19027	54
19029	54.6
19031	54.2
19033	51.3
19035	52.7
19037	51.5
19039	55.7
19041	51
19043	51.5
19045	53.7
19047	53.8
19049	55
19051	55.7
19053	56.2
19055	51.9
19057	56.7
19059	50.6
19061	52.4
19063	50.7
19065	51.6
19067	51.7
19069	52.9
19071	56.4
19073	54.8
19075	52.9
19077	54.1
19079	53.3
19081	51.6
19083	53.3
19085	55.6
19087	56.1
19089	50.5
19091	53
19093	53.5
19095	54.2
19097	53.1
19099	54.6
19101	55.9
19103	54.8
19105	52.8
19107	55.3
19109	51.9
19111	57.3
19113	53.9
19115	55.5
19117	55.6
19119	51.1
19121	55.3
19123	55.2
19125	55.2
19127	53.4
19129	56
19131	51.1
19133	54.3
19135	55.9
19137	55.7
19139	55.4
19141	51.4
19143	50.5
19145	55.9
19147	51.6
19149	52.7
19151	53.4
19153	54.9
19155	56.4
19157	54.7
19159	55.3
19161	53.5
19163	54.9
19165	54
19167	52.1
19169	53.8
19171	53.6
19173	55.7
19175	54.8
19177	55.9
19179	55.4
19181	55.6
19183	55.1
19185	56
19187	53.3
19189	51.9
19191	50.9
19193	53.9
19195	50.8
19197	52.8
20001	60.5
20003	60.6
20005	58.4
20007	61.7
20009	59.6
20011	61
20013	58.2
20015	61.2
20017	60.1
20019	62.1
20021	61.9
20023	56.6
20025	61.2
20027	59.3
20029	58.6
20031	60.6
20033	61.1
20035	62.2
20037	61.2
20039	57.7
20041	60.4
20043	57.8
20045	59.1
20047	60.6
20049	61.1
20051	59
20053	60.3
20055	58.8
20057	59.7
20059	59.5
20061	60.1
20063	58.4
20065	58
20067	59.8
20069	59.3
20071	58.3
20073	61.2
20075	58.7
20077	62.9
20079	60.6
20081	60.1
20083	59.7
20085	59.3
20087	59.7
20089	57.4
20091	60.7
20093	59.2
20095	61.7
20097	61.1
20099	61.4
20101	58.9
20103	59.7
20105	60.3
20107	60.6
20109	58.1
20111	60.1
20113	60.1
20115	60.3
20117	58.4
20119	61.2
20121	59.4
20123	59.2
20125	62.1
20127	60.1
20129	59.8
20131	58.4
20133	60.9
20135	59.8
20137	57.9
20139	59.6
20141	59.5
20143	59.8
20145	59.7
20147	58.4
20149	58.9
20151	60.7
20153	57.6
20155	60.5
20157	57.9
20159	60.7
20161	59.1
20163	59.6
20165	59.1
20167	59.4
20169	60.2
20171	58.9
20173	61.6
20175	60.7
20177	59.7
20179	58.1
20181	56.2
20183	58.7
20185	59.7
20187	59.8
20189	60.1
20191	62.1
20193	57.6
20195	58.4
20197	59.9
20199	58.3
20201	58.4
20203	58.3
20205	61.1
20207	60.7
20209	60.5
21001	59.8
21003	60.2
21005	58.2
21007	61.3
21009	60
21011	58.4
21013	59.2
21015	58.1
21017	57.9
21019	58.9
21021	58.7
21023	57
21025	59.4
21027	59.7
21029	60
21031	60.5
21033	61.5
21035	62.2
21037	58.1
21039	62.4
21041	58.2
21043	59
21045	59.1
21047	61.2
21049	58.3
21051	59.5
21053	60.9
21055	61.2
21057	61.2
21059	60.5
21061	60.4
21063	59.4
21065	59.8
21067	58.1
21069	58
21071	60.2
21073	58.2
21075	62.7
21077	58.2
21079	59.1
21081	58.6
21083	61.6
21085	59.7
21087	59.5
21089	58.9
21091	59.7
21093	59.2
21095	58.3
21097	57.9
21099	59.8
21101	60.4
21103	58
21105	62.4
21107	61.2
21109	58.8
21111	60.1
21113	58.5
21115	60.2
21117	58.1
21119	59.2
21121	59.3
21123	59.4
21125	59.3
21127	59.4
21129	59.4
21131	59.2
21133	58
21135	58.8
21137	58.8
21139	61.4
21141	60.9
21143	62.2
21145	61.3
21147	60.6
21149	60.6
21151	58.9
21153	59.4
21155	59.1
21157	61.9
21159	60.2
21161	57.4
21163	59.3
21165	59.7
21167	58.5
21169	60.1
21171	60.8
21173	58.5
21175	59.4
21177	61.1
21179	59.1
21181	58.1
21183	60.6
21185	58.6
21187	58.4
21189	59.4
21191	58
21193	59.2
21195	59.8
21197	59.7
21199	59.4
21201	58.1
21203	58.8
21205	59
21207	60.1
21209	57.9
21211	58
21213	60.8
21215	59.3
21217	59.4
21219	61.1
21221	61.8
21223	57.8
21225	60.4
21227	60.4
21229	59
21231	59.9
21233	61.1
21235	59.9
21237	59.4
21239	58.1
22001	70.1
22003	69.5
22005	70.2
22007	71
22009	68.7
22011	69.9
22013	70
22015	69.2
22017	69.9
22019	70.2
22021	69.9
22023	72
22025	69.1
22027	69.3
22029	68.2
22031	70.1
22033	70.4
22035	68
22037	70
22039	68.8
22041	68.5
22043	69.5
22045	70.2
22047	70.4
22049	69.8
22051	71.9
22053	69.8
22055	69.9
22057	70.9
22059	69.1
22061	69.5
22063	70.5
22065	67.9
22067	68.2
22069	69.2
22071	71.7
22073	68
22075	71.7
22077	69.5
22079	69.5
22081	69.3
22083	67.7
22085	69.7
22087	72.3
22089	72.2
22091	69.8
22093	70.9
22095	71
22097	69.7
22099	70.1
22101	71.3
22103	72
22105	70.3
22107	69.1
22109	71
22111	69.5
22113	70.5
22115	69.8
22117	70.7
22119	68.8
