id	rate
1001	33.6
1003	38.6
1005	36.6
1007	33.4
1009	33.5
1011	34.8
1013	36
1015	33.1
1017	35.7
1019	32.6
1021	34.4
1023	32.3
1025	35.4
1027	36.4
1029	35.4
1031	38.4
1033	31.3
1035	37.3
1037	35.2
1039	38
1041	36.6
1043	33.4
1045	38.4
1047	32.8
1049	35.1
1051	33
1053	38.9
1055	32.4
1057	31.9
1059	32
1061	38.7
1063	31.6
1065	33.1
1067	37.1
1069	38.6
1071	33.3
1073	33.6
1075	31.2
1077	31.1
1079	31.9
1081	36.5
1083	32.4
1085	32.5
1087	34
1089	33.3
1091	32.2
1093	31.8
1095	33.8
1097	38.4
1099	36.4
1101	32.9
1103	31.8
1105	32.9
1107	32.2
1109	36.3
1111	36
1113	34.5
1115	32.3
1117	33.3
1119	31.7
1121	32.5
1123	34.9
1125	32.6
1127	32.5
1129	37.5
1131	33.6
1133	32.2
2013	60.8
2016	69
2020	35.6
2050	57.5
2060	58.1
2068	45.2
2070	49
2090	41.6
2100	49
2105	64.8
2110	62.2
2122	42.2
2130	64.8
2150	54.3
2164	58.9
2170	32.2
2180	44.3
2185	71
2188	47.9
2195	58.7
2198	71
2220	64.7
2230	52.9
2240	30.6
2261	41.7
2270	58.7
2275	58.7
2282	55.2
2290	40.8
4001	12.3
4003	8.8
4005	13.3
4007	9.7
4009	7.8
4011	8.2
4012	6.7
4013	8.1
4015	6.4
4017	8.6
4019	8.6
4021	8.6
4023	10.9
4025	10.2
4027	6.1
5001	30.5
5003	31.3
5005	25.2
5007	25.7
5009	26.5
5011	30.5
5013	30.7
5015	25.6
5017	31.1
5019	30.3
5021	27.5
5023	28.9
5025	30
5027	31
5029	27.7
5031	27.4
5033	26.6
5035	30.2
5037	29
5039	30.4
5041	30.6
5043	30.3
5045	28.5
5047	27.1
5049	26.1
5051	30.4
5053	29.4
5055	27.3
5057	30.6
5059	30
5061	29.9
5063	26.9
5065	25.8
5067	27.5
5069	30.5
5071	27.7
5073	30.7
5075	27.4
5077	29.9
5079	30
5081	29.6
5083	26.8
5085	29.1
5087	26.9
5089	25.4
5091	30.2
5093	28.1
5095	28.8
5097	30.2
5099	30.3
5101	26.5
5103	30.3
5105	27.7
5107	30
5109	30.4
5111	27.8
5113	31.7
5115	27.8
5117	29.5
5119	29.1
5121	26.8
5123	29.6
5125	29.5
5127	27.4
5129	29.9
5131	25.7
5133	29.7
5135	26.4
5137	26.8
5139	30.8
5141	28.5
5143	27
5145	28.8
5147	29.1
5149	28.1
6001	38
6003	18.2
6005	17.8
6007	19.5
6009	16.9
6011	15.9
6013	32.8
6015	47.4
6017	18.3
6019	13.3
6021	18.1
6023	52.6
6025	5.5
6027	5.7
6029	10.3
6031	13.7
6033	25.5
6035	18.7
6037	15
6039	14.5
6041	34.3
6043	12.4
6045	27.3
6047	15.7
6049	23.4
6051	11.5
6053	32.3
6055	26.1
6057	20.7
6059	19.7
6061	19.1
6063	23.6
6065	13.4
6067	20.5
6069	25.1
6071	10.3
6073	20
6075	45.7
6077	18.7
6079	17.7
6081	38.8
6083	11.9
6085	28.9
6087	25.7
6089	21.5
6091	20.5
6093	24.8
6095	25.3
6097	36.2
6099	16.1
6101	18.7
6103	18.7
6105	31.6
6107	12.4
6109	15.5
6111	12.5
6113	20.6
6115	18.9
8001	11.4
8003	10.4
8005	11.8
8007	12.6
8009	13.5
8011	12.8
8013	11
8014	10.9
8015	11.7
8017	15.7
8019	12.8
8021	10.3
8023	10.7
8025	12
8027	10.4
8029	11.2
8031	11.6
8033	12.1
8035	12.1
8037	14.2
8039	12.9
8041	11.6
8043	10.4
8045	14.3
8047	13.7
8049	18.2
8051	13.7
8053	15.4
8055	12.3
8057	16.3
8059	11.1
8061	13.5
8063	15.7
8065	15.9
8067	12.5
8069	11.5
8071	10.6
8073	14.7
8075	15.8
8077	11.9
8079	10.2
8081	15.7
8083	12.1
8085	11.3
8087	15.1
8089	12
8091	12.6
8093	17.5
8095	17.3
8097	14.5
8099	13.5
8101	10.1
8103	15
8105	10
8107	18.7
8109	10.4
8111	16.5
8113	16.5
8115	17.3
8117	17.2
8119	14.1
8121	16
8123	12.4
8125	16.8
9001	38.3
9003	37.5
9005	40.6
9007	39.3
9009	38.5
9011	40.3
9013	39.5
9015	41.4
10001	33.7
10003	36.6
10005	35.2
11001	34
12001	38.7
12003	38.9
12005	37.3
12007	39.5
12009	40
12011	45.1
12013	37.9
12015	40.8
12017	39.9
12019	39.2
12021	40.4
12023	38.7
12027	43.6
12029	37.5
12031	39.3
12033	37.6
12035	38.6
12037	35.7
12039	37.6
12041	39.5
12043	43
12045	36.7
12047	37.4
12049	43.2
12051	43
